name,position,scale,count,url
合煦智远基金管理有限公司,广东省深圳市福田区莲花街道福中社区福田中心区金田路4036号荣超大厦5层01-06,34亿元,8,www.uvasset.com
恒生前海基金管理有限公司,深圳市前海深港合作区南山街道前海大道前海嘉里商务中心T2写字楼1001,72.37亿元,32,www.hsqhfunds.com
华宝基金管理有限公司,中国(上海)自由贸易试验区世纪大道100号上海环球金融中心58楼,3331.83亿元,213,www.fsfund.com
泓德基金管理有限公司,北京市西城区德胜门外大街125号3层,669.95亿元,57,www.hongdefund.com
海富通基金管理有限公司,中国(上海)自由贸易试验区陆家嘴环路479号18层1802-1803室以及19层1901-1908室,1409.28亿元,141,www.hftfund.com
嘉实基金管理有限公司,北京市朝阳区建国门外大街21号北京国际俱乐部C座写字楼12A层,7941.51亿元,472,www.jsfund.cn
交银施罗德基金管理有限公司,上海浦东新区世纪大道8号国金中心二期21-22楼,5293.53亿元,200,www.fund001.com
建信基金管理有限责任公司,北京市西城区金融大街7号英蓝国际金融中心16层,7785.39亿元,260,www.ccbfund.cn
金信基金管理有限公司,深圳市福田区益田路6001号太平金融大厦15层02单元,77.91亿元,22,www.jxfunds.com.cn
江信基金管理有限公司,北京市海淀区北三环西路99号西海国际中心1号楼2001-A,30.38亿元,14,www.jxfund.cn
九泰基金管理有限公司,北京市朝阳区安立路30号仰山公园2号楼1栋西侧一层、二层,24.80亿元,41,www.jtamc.com
景顺长城基金管理有限公司,深圳市福田区中心四路1号嘉里建设广场第一座21层,5270.89亿元,272,www.igwfmc.com
嘉合基金管理有限公司,上海市杨浦区秦皇岛路32号A楼,301.09亿元,45,www.haoamc.com
金鹰基金管理有限公司,广东省广州市天河区珠江新城珠江东路28号越秀金融大厦30层,633.20亿元,104,www.gefund.com.cn
金元顺安基金管理有限公司,上海市浦东新区花园石桥路33号花旗集团大厦36楼3608,242.55亿元,25,www.jysa99.com
凯石基金管理有限公司,上海市黄浦区延安东路1号2层,2.11亿元,5,www.vstonefund.com
